4	180	720
0	106	-1	-1.5
1	106	-0.5	-1.5
2	106	-0	-1.5
3	106	0.5	-1.5
0	107	-0.666667	-1
1	107	-0.333333	-1
2	107	-0	-1
3	107	0.333333	-1
0	108	-0.5	-0.75
1	108	-0.25	-0.75
2	108	-0	-0.75
3	108	0.25	-0.75
0	109	-0.4	-0.6
1	109	-0.2	-0.6
2	109	-0	-0.6
3	109	0.2	-0.6
0	110	-2	-4
1	110	-1	-4
2	110	-0	-4
3	110	1	-4
0	111	-1	-2
1	111	-0.5	-2
2	111	-0	-2
3	111	0.5	-2
0	112	-0.666667	-1.33333
1	112	-0.333333	-1.33333
2	112	-0	-1.33333
3	112	0.333333	-1.33333
0	113	-0.5	-1
1	113	-0.25	-1
2	113	-0	-1
3	113	0.25	-1
0	114	-0.4	-0.8
1	114	-0.2	-0.8
2	114	-0	-0.8
3	114	0.2	-0.8
0	115	-2	-5
1	115	-1	-5
2	115	-0	-5
3	115	1	-5
0	116	-1	-2.5
1	116	-0.5	-2.5
2	116	-0	-2.5
3	116	0.5	-2.5
0	117	-0.666667	-1.66667
1	117	-0.333333	-1.66667
2	117	-0	-1.66667
3	117	0.333333	-1.66667
0	118	-0.5	-1.25
1	118	-0.25	-1.25
2	118	-0	-1.25
3	118	0.25	-1.25
0	119	-0.4	-1
1	119	-0.2	-1
2	119	-0	-1
3	119	0.2	-1
0	120	-3	-0
1	120	-2	-0
2	120	-1	-0
3	120	-0	-0
0	121	-1.5	-0
1	121	-1	-0
2	121	-0.5	-0
3	121	-0	-0
0	122	-1	-0
1	122	-0.666667	-0
2	122	-0.333333	-0
3	122	-0	-0
0	123	-0.75	-0
1	123	-0.5	-0
2	123	-0.25	-0
3	123	-0	-0
0	124	-0.6	-0
1	124	-0.4	-0
2	124	-0.2	-0
3	124	-0	-0
0	125	-3	-1
1	125	-2	-1
2	125	-1	-1
3	125	-0	-1
0	126	-1.5	-0.5
1	126	-1	-0.5
2	126	-0.5	-0.5
3	126	-0	-0.5
0	127	-1	-0.333333
1	127	-0.666667	-0.333333
2	127	-0.333333	-0.333333
3	127	-0	-0.333333
0	128	-0.75	-0.25
1	128	-0.5	-0.25
2	128	-0.25	-0.25
3	128	-0	-0.25
0	129	-0.6	-0.2
1	129	-0.4	-0.2
2	129	-0.2	-0.2
3	129	-0	-0.2
0	130	-3	-2
1	130	-2	-2
2	130	-1	-2
3	130	-0	-2
0	131	-1.5	-1
1	131	-1	-1
2	131	-0.5	-1
3	131	-0	-1
0	132	-1	-0.666667
1	132	-0.666667	-0.666667
2	132	-0.333333	-0.666667
3	132	-0	-0.666667
0	133	-0.75	-0.5
1	133	-0.5	-0.5
2	133	-0.25	-0.5
3	133	-0	-0.5
0	134	-0.6	-0.4
1	134	-0.4	-0.4
2	134	-0.2	-0.4
3	134	-0	-0.4
0	135	-3	-3
1	135	-2	-3
2	135	-1	-3
3	135	-0	-3
0	136	-1.5	-1.5
1	136	-1	-1.5
2	136	-0.5	-1.5
3	136	-0	-1.5
0	137	-1	-1
1	137	-0.666667	-1
2	137	-0.333333	-1
3	137	-0	-1
0	138	-0.75	-0.75
1	138	-0.5	-0.75
2	138	-0.25	-0.75
3	138	-0	-0.75
0	139	-0.6	-0.6
1	139	-0.4	-0.6
2	139	-0.2	-0.6
3	139	-0	-0.6
0	140	-3	-4
1	140	-2	-4
2	140	-1	-4
3	140	-0	-4
0	141	-1.5	-2
1	141	-1	-2
2	141	-0.5	-2
3	141	-0	-2
0	142	-1	-1.33333
1	142	-0.666667	-1.33333
2	142	-0.333333	-1.33333
3	142	-0	-1.33333
0	143	-0.75	-1
1	143	-0.5	-1
2	143	-0.25	-1
3	143	-0	-1
0	144	-0.6	-0.8
1	144	-0.4	-0.8
2	144	-0.2	-0.8
3	144	-0	-0.8
0	145	-3	-5
1	145	-2	-5
2	145	-1	-5
3	145	-0	-5
0	146	-1.5	-2.5
1	146	-1	-2.5
2	146	-0.5	-2.5
3	146	-0	-2.5
0	147	-1	-1.66667
1	147	-0.666667	-1.66667
2	147	-0.333333	-1.66667
3	147	-0	-1.66667
0	148	-0.75	-1.25
1	148	-0.5	-1.25
2	148	-0.25	-1.25
3	148	-0	-1.25
0	149	-0.6	-1
1	149	-0.4	-1
2	149	-0.2	-1
3	149	-0	-1
0	150	-4	-0
1	150	-3	-0
2	150	-2	-0
3	150	-1	-0
0	151	-2	-0
1	151	-1.5	-0
2	151	-1	-0
3	151	-0.5	-0
0	152	-1.33333	-0
1	152	-1	-0
2	152	-0.666667	-0
3	152	-0.333333	-0
0	153	-1	-0
1	153	-0.75	-0
2	153	-0.5	-0
3	153	-0.25	-0
0	154	-0.8	-0
1	154	-0.6	-0
2	154	-0.4	-0
3	154	-0.2	-0
0	155	-4	-1
1	155	-3	-1
2	155	-2	-1
3	155	-1	-1
0	156	-2	-0.5
1	156	-1.5	-0.5
2	156	-1	-0.5
3	156	-0.5	-0.5
0	157	-1.33333	-0.333333
1	157	-1	-0.333333
2	157	-0.666667	-0.333333
3	157	-0.333333	-0.333333
0	158	-1	-0.25
1	158	-0.75	-0.25
2	158	-0.5	-0.25
3	158	-0.25	-0.25
0	159	-0.8	-0.2
1	159	-0.6	-0.2
2	159	-0.4	-0.2
3	159	-0.2	-0.2
0	160	-4	-2
1	160	-3	-2
2	160	-2	-2
3	160	-1	-2
0	161	-2	-1
1	161	-1.5	-1
2	161	-1	-1
3	161	-0.5	-1
0	162	-1.33333	-0.666667
1	162	-1	-0.666667
2	162	-0.666667	-0.666667
3	162	-0.333333	-0.666667
0	163	-1	-0.5
1	163	-0.75	-0.5
2	163	-0.5	-0.5
3	163	-0.25	-0.5
0	164	-0.8	-0.4
1	164	-0.6	-0.4
2	164	-0.4	-0.4
3	164	-0.2	-0.4
0	165	-4	-3
1	165	-3	-3
2	165	-2	-3
3	165	-1	-3
0	166	-2	-1.5
1	166	-1.5	-1.5
2	166	-1	-1.5
3	166	-0.5	-1.5
0	167	-1.33333	-1
1	167	-1	-1
2	167	-0.666667	-1
3	167	-0.333333	-1
0	168	-1	-0.75
1	168	-0.75	-0.75
2	168	-0.5	-0.75
3	168	-0.25	-0.75
0	169	-0.8	-0.6
1	169	-0.6	-0.6
2	169	-0.4	-0.6
3	169	-0.2	-0.6
0	170	-4	-4
1	170	-3	-4
2	170	-2	-4
3	170	-1	-4
0	171	-2	-2
1	171	-1.5	-2
2	171	-1	-2
3	171	-0.5	-2
0	172	-1.33333	-1.33333
1	172	-1	-1.33333
2	172	-0.666667	-1.33333
3	172	-0.333333	-1.33333
0	173	-1	-1
1	173	-0.75	-1
2	173	-0.5	-1
3	173	-0.25	-1
0	174	-0.8	-0.8
1	174	-0.6	-0.8
2	174	-0.4	-0.8
3	174	-0.2	-0.8
0	175	-4	-5
1	175	-3	-5
2	175	-2	-5
3	175	-1	-5
0	176	-2	-2.5
1	176	-1.5	-2.5
2	176	-1	-2.5
3	176	-0.5	-2.5
0	177	-1.33333	-1.66667
1	177	-1	-1.66667
2	177	-0.666667	-1.66667
3	177	-0.333333	-1.66667
0	178	-1	-1.25
1	178	-0.75	-1.25
2	178	-0.5	-1.25
3	178	-0.25	-1.25
0	179	-0.8	-1
1	179	-0.6	-1
2	179	-0.4	-1
3	179	-0.2	-1
0
0
0
-4
-0
-0
1
0
0
0
0
0
-8
-0
-0
1
0
0
0
0
0
-12
-0
-0
1
0
0
0
0
0
-16
-0
-0
1
0
0
0
0
4
0
0
8
0
0
12
0
0
16
0
0
20
0
4
4
0
4
8
0
4
12
0
4
16
0
4
20
0
8
4
0
8
8
0
8
12
0
8
16
0
8
20
0
12
4
0
12
8
0
12
12
0
12
16
0
12
20
0
16
4
0
16
8
0
16
12
0
16
16
0
16
20
0
20
4
0
20
8
0
20
12
0
20
16
0
20
20
4
0
4
4
0
8
4
0
12
4
0
16
4
0
20
4
4
4
4
4
8
4
4
12
4
4
16
4
4
20
4
8
4
4
8
8
4
8
12
4
8
16
4
8
20
4
12
4
4
12
8
4
12
12
4
12
16
4
12
20
4
16
4
4
16
8
4
16
12
4
16
16
4
16
20
4
20
4
4
20
8
4
20
12
4
20
16
4
20
20
8
0
4
8
0
8
8
0
12
8
0
16
8
0
20
8
4
4
8
4
8
8
4
12
8
4
16
8
4
20
8
8
4
8
8
8
8
8
12
8
8
16
8
8
20
8
12
4
8
12
8
8
12
12
8
12
16
8
12
20
8
16
4
8
16
8
8
16
12
8
16
16
8
16
20
8
20
4
8
20
8
8
20
12
8
20
16
8
20
20
12
0
4
12
0
8
12
0
12
12
0
16
12
0
20
12
4
4
12
4
8
12
4
12
12
4
16
12
4
20
12
8
4
12
8
8
12
8
12
12
8
16
12
8
20
12
12
4
12
12
8
12
12
12
12
12
16
12
12
20
12
16
4
12
16
8
12
16
12
12
16
16
12
16
20
12
20
4
12
20
8
12
20
12
12
20
16
12
20
20
16
0
4
16
0
8
16
0
12
16
0
16
16
0
20
16
4
4
16
4
8
16
4
12
16
4
16
16
4
20
16
8
4
16
8
8
16
8
12
16
8
16
16
8
20
16
12
4
16
12
8
16
12
12
16
12
16
16
12
20
16
16
4
16
16
8
16
16
12
16
16
16
16
16
20
16
20
4
16
20
8
16
20
12
16
20
16
16
20
20
20
0
4
20
0
8
20
0
12
20
0
16
20
0
20
20
4
4
20
4
8
20
4
12
20
4
16
20
4
20
20
8
4
20
8
8
20
8
12
20
8
16
20
8
20
20
12
4
20
12
8
20
12
12
20
12
16
20
12
20
20
16
4
20
16
8
20
16
12
20
16
16
20
16
20
20
20
4
20
20
8
20
20
12
20
20
16
20
20
20
