4	180	720
0	109	-0.4	-0.6
1	109	-0.2	-0.6
2	109	0	-0.6
3	109	0.2	-0.6
0	110	-2	-4
1	110	-1	-4
2	110	0	-4
3	110	1	-4
0	111	-1	-2
1	111	-0.5	-2
2	111	0	-2
3	111	0.5	-2
0	112	-0.666667	-1.33333
1	112	-0.333333	-1.33333
2	112	0	-1.33333
3	112	0.333333	-1.33333
0	113	-0.5	-1
1	113	-0.25	-1
2	113	0	-1
3	113	0.25	-1
0	114	-0.4	-0.8
1	114	-0.2	-0.8
2	114	0	-0.8
3	114	0.2	-0.8
0	115	-2	-5
1	115	-1	-5
2	115	0	-5
3	115	1	-5
0	116	-1	-2.5
1	116	-0.5	-2.5
2	116	0	-2.5
3	116	0.5	-2.5
0	117	-0.666667	-1.66667
1	117	-0.333333	-1.66667
2	117	0	-1.66667
3	117	0.333333	-1.66667
0	118	-0.5	-1.25
1	118	-0.25	-1.25
2	118	0	-1.25
3	118	0.25	-1.25
0	119	-0.4	-1
1	119	-0.2	-1
2	119	0	-1
3	119	0.2	-1
0	120	-3	0
1	120	-2	0
2	120	-1	0
3	120	0	0
0	121	-1.5	0
1	121	-1	0
2	121	-0.5	0
3	121	0	0
0	122	-1	0
1	122	-0.666667	0
2	122	-0.333333	0
3	122	0	0
0	123	-0.75	0
1	123	-0.5	0
2	123	-0.25	0
3	123	0	0
0	124	-0.6	0
1	124	-0.4	0
2	124	-0.2	0
3	124	0	0
0	125	-3	-1
1	125	-2	-1
2	125	-1	-1
3	125	0	-1
0	126	-1.5	-0.5
1	126	-1	-0.5
2	126	-0.5	-0.5
3	126	0	-0.5
0	127	-1	-0.333333
1	127	-0.666667	-0.333333
2	127	-0.333333	-0.333333
3	127	0	-0.333333
0	128	-0.75	-0.25
1	128	-0.5	-0.25
2	128	-0.25	-0.25
3	128	0	-0.25
0	129	-0.6	-0.2
1	129	-0.4	-0.2
2	129	-0.2	-0.2
3	129	0	-0.2
0	130	-3	-2
1	130	-2	-2
2	130	-1	-2
3	130	0	-2
0	131	-1.5	-1
1	131	-1	-1
2	131	-0.5	-1
3	131	0	-1
0	132	-1	-0.666667
1	132	-0.666667	-0.666667
2	132	-0.333333	-0.666667
3	132	0	-0.666667
0	133	-0.75	-0.5
1	133	-0.5	-0.5
2	133	-0.25	-0.5
3	133	0	-0.5
0	134	-0.6	-0.4
1	134	-0.4	-0.4
2	134	-0.2	-0.4
3	134	0	-0.4
0	135	-3	-3
1	135	-2	-3
2	135	-1	-3
3	135	0	-3
0	136	-1.5	-1.5
1	136	-1	-1.5
2	136	-0.5	-1.5
3	136	0	-1.5
0	137	-1	-1
1	137	-0.666667	-1
2	137	-0.333333	-1
3	137	0	-1
0	138	-0.75	-0.75
1	138	-0.5	-0.75
2	138	-0.25	-0.75
3	138	0	-0.75
0	139	-0.6	-0.6
1	139	-0.4	-0.6
2	139	-0.2	-0.6
3	139	0	-0.6
0	140	-3	-4
1	140	-2	-4
2	140	-1	-4
3	140	0	-4
0	141	-1.5	-2
1	141	-1	-2
2	141	-0.5	-2
3	141	0	-2
0	142	-1	-1.33333
1	142	-0.666667	-1.33333
2	142	-0.333333	-1.33333
3	142	0	-1.33333
0	143	-0.75	-1
1	143	-0.5	-1
2	143	-0.25	-1
3	143	0	-1
0	144	-0.6	-0.8
1	144	-0.4	-0.8
2	144	-0.2	-0.8
3	144	0	-0.8
0	145	-3	-5
1	145	-2	-5
2	145	-1	-5
3	145	0	-5
0	146	-1.5	-2.5
1	146	-1	-2.5
2	146	-0.5	-2.5
3	146	0	-2.5
0	147	-1	-1.66667
1	147	-0.666667	-1.66667
2	147	-0.333333	-1.66667
3	147	0	-1.66667
0	148	-0.75	-1.25
1	148	-0.5	-1.25
2	148	-0.25	-1.25
3	148	0	-1.25
0	149	-0.6	-1
1	149	-0.4	-1
2	149	-0.2	-1
3	149	0	-1
0	150	-4	0
1	150	-3	0
2	150	-2	0
3	150	-1	0
0	151	-2	0
1	151	-1.5	0
2	151	-1	0
3	151	-0.5	0
0	152	-1.33333	0
1	152	-1	0
2	152	-0.666667	0
3	152	-0.333333	0
0	153	-1	0
1	153	-0.75	0
2	153	-0.5	0
3	153	-0.25	0
0	154	-0.8	0
1	154	-0.6	0
2	154	-0.4	0
3	154	-0.2	0
0	155	-4	-1
1	155	-3	-1
2	155	-2	-1
3	155	-1	-1
0	156	-2	-0.5
1	156	-1.5	-0.5
2	156	-1	-0.5
3	156	-0.5	-0.5
0	157	-1.33333	-0.333333
1	157	-1	-0.333333
2	157	-0.666667	-0.333333
3	157	-0.333333	-0.333333
0	158	-1	-0.25
1	158	-0.75	-0.25
2	158	-0.5	-0.25
3	158	-0.25	-0.25
0	159	-0.8	-0.2
1	159	-0.6	-0.2
2	159	-0.4	-0.2
3	159	-0.2	-0.2
0	160	-4	-2
1	160	-3	-2
2	160	-2	-2
3	160	-1	-2
0	161	-2	-1
1	161	-1.5	-1
2	161	-1	-1
3	161	-0.5	-1
0	162	-1.33333	-0.666667
1	162	-1	-0.666667
2	162	-0.666667	-0.666667
3	162	-0.333333	-0.666667
0	163	-1	-0.5
1	163	-0.75	-0.5
2	163	-0.5	-0.5
3	163	-0.25	-0.5
0	164	-0.8	-0.4
1	164	-0.6	-0.4
2	164	-0.4	-0.4
3	164	-0.2	-0.4
0	165	-4	-3
1	165	-3	-3
2	165	-2	-3
3	165	-1	-3
0	166	-2	-1.5
1	166	-1.5	-1.5
2	166	-1	-1.5
3	166	-0.5	-1.5
0	167	-1.33333	-1
1	167	-1	-1
2	167	-0.666667	-1
3	167	-0.333333	-1
0	168	-1	-0.75
1	168	-0.75	-0.75
2	168	-0.5	-0.75
3	168	-0.25	-0.75
0	169	-0.8	-0.6
1	169	-0.6	-0.6
2	169	-0.4	-0.6
3	169	-0.2	-0.6
0	170	-4	-4
1	170	-3	-4
2	170	-2	-4
3	170	-1	-4
0	171	-2	-2
1	171	-1.5	-2
2	171	-1	-2
3	171	-0.5	-2
0	172	-1.33333	-1.33333
1	172	-1	-1.33333
2	172	-0.666667	-1.33333
3	172	-0.333333	-1.33333
0	173	-1	-1
1	173	-0.75	-1
2	173	-0.5	-1
3	173	-0.25	-1
0	174	-0.8	-0.8
1	174	-0.6	-0.8
2	174	-0.4	-0.8
3	174	-0.2	-0.8
0	175	-4	-5
1	175	-3	-5
2	175	-2	-5
3	175	-1	-5
0	176	-2	-2.5
1	176	-1.5	-2.5
2	176	-1	-2.5
3	176	-0.5	-2.5
0	177	-1.33333	-1.66667
1	177	-1	-1.66667
2	177	-0.666667	-1.66667
3	177	-0.333333	-1.66667
0	178	-1	-1.25
1	178	-0.75	-1.25
2	178	-0.5	-1.25
3	178	-0.25	-1.25
0	179	-0.8	-1
1	179	-0.6	-1
2	179	-0.4	-1
3	179	-0.2	-1
0.00792566
0.00861759
0.00613046
-3.99557
0.00568754
0.00546222
1.00532
0.00993528
0.000591633
0.000300651
0.00432452
0.00321047
-7.99027
0.00519048
0.00613254
1.00722
0.0099311
0.00473841
0.00527017
0.0050148
0.00109087
-11.9988
0.000463652
0.00283917
1.0005
0.000208639
0.00479455
0.00390289
0.00558524
0.00623701
-15.994
0.0035109
0.0048546
1.00216
0.00793879
0.00054214
0.00762679
0.00326097
4.00048
0.00821842
0.00356162
8.0048
0.00142889
0.00329309
12.01
0.00756143
0.000516852
16.0099
0.00229984
0.00578702
20.0049
0.00339071
4.00703
4.0054
0.00622988
4.00753
8.00561
0.00102443
4.00143
12.0012
0.00726144
4.00747
16.0047
0.00211604
4.00963
20.0026
0.00265818
8.00726
4.00591
0.0031356
8.00548
8.00947
0.00793753
8.00691
12.0028
0.00792995
8.00447
16.0033
0.00785346
8.00677
20.0091
0.00279178
12.0002
4.00609
0.00819374
12.0064
8.00362
0.00380434
12.0074
12.0051
0.00500019
12.0047
16.0025
0.00970693
12.0068
20.0022
0.00235245
16.0094
4.00941
0.00825895
16.0026
8.00488
0.00772706
16.0005
12.0018
0.000488258
16.0085
16.0063
0.00376631
16.0063
20.003
0.00283138
20.0091
4.00318
0.00892318
20.0073
8.00957
0.00254432
20.0011
12.007
0.00759771
20.0061
16.0017
0.000117453
20.0058
20.0084
4.00227
0.00815294
4.00789
4.00168
0.00641188
8.00047
4.00656
0.00413894
12.001
4.00835
0.0046272
16.0094
4.00461
0.00839351
20.0057
4.00763
4.00122
4.00484
4.00081
4.00015
8.00213
4.00037
4.00269
12.0032
4.00735
4.00029
16.0093
4.009
4.00041
20.0051
4.00744
8.00268
4.00327
4.00533
8.00435
8.00968
4.00579
8.00091
12.0038
4.00678
8.00926
16.0084
4.00622
8.00387
20.0068
4.00196
12.0015
4.00806
4.0068
12.0023
8.00821
4.00893
12.0027
12.0009
4.00215
12
16.0012
4.00146
12.009
20.0016
4.00658
16.0065
4.00428
4.00984
16.0018
8.00863
4.00952
16.0076
12.0095
4.00334
16.0044
16.0088
4.00178
16.0006
20.0027
4.00862
20.0026
4.00417
4.00668
20.0094
8.00648
4.0049
20.0083
12.0092
4.0058
20.0004
16.0092
4.00699
20.0019
20.0082
8.00859
0.00848023
4.0047
8.00287
0.00832225
8.0065
8.0015
0.00784295
12.0041
8.00104
0.00118126
16.0085
8.00985
0.0029644
20.0091
8.00253
4.00159
4.00165
8.0067
4.00827
8.00101
8.00318
4.00317
12.0093
8.00234
4.00897
16.0098
8.00154
4.00596
20.0017
8.00977
8.00455
4.00014
8.00447
8.00743
8.00846
8.00098
8.00893
12.0063
8.00508
8.00997
16.0075
8.00356
8.00982
20.0004
8.00264
12.0023
4.00204
8.00428
12.009
8.00031
8.0053
12.0022
12.0035
8.00461
12.0046
16.0024
8.00436
12.0061
20.0084
8.00602
16.0059
4.00295
8.00616
16.0004
8.00038
8.00462
16.0013
12.0093
8.00092
16.0064
16.0093
8.00841
16.01
20.0091
8.00886
20.0026
4.00144
8.0009
20.0069
8.00049
8.0012
20.0022
12.0027
8.00468
20.0068
16.0073
8.00711
20.0011
20.0034
12.0055
0.00716247
4.00928
12.0085
0.00332182
8.00963
12.0088
0.00794247
12.001
12.0082
0.00886736
16.0074
12.0074
0.00727776
20.0073
12.0065
4.00614
4.0099
12.008
4.00703
8.00678
12.0085
4.00824
12.009
12.0012
4.00291
16.0057
12.0085
4.00003
20.0069
12.0019
8.00554
4.00404
12.0011
8.00401
8.00736
12.0008
8.00285
12.0053
12.0017
8.001
16.0042
12.0091
8.00843
20.0014
12.0064
12.005
4.00758
12.0063
12.0029
8.00462
12.003
12.0014
12.0029
12.002
12.0026
16.0058
12.0077
12.001
20.0058
12.0046
16.0029
4.00133
12.0086
16.004
8.00534
12.006
16.0047
12.0082
12.0013
16.0065
16.0092
12.0055
16.0055
20.0076
12.0069
20.0019
4.00258
12.0045
20.0082
8.0055
12.0091
20.0012
12.0069
12.002
20.0032
16.0094
12.0077
20.0009
20.0004
16.0035
0.00554097
4.0033
16.0048
0.00417947
8.00729
16.0002
0.000175198
12.002
16.0084
0.00147062
16.0085
16.0076
0.00693311
20.004
16.0052
4.00384
4.0059
16.0078
4.00833
8.00406
16.0033
4.00744
12.0053
16.0002
4.0094
16.0085
16.0096
4.00713
20.0094
16
8.00064
4.00495
16.0033
8.00549
8.00913
16.0006
8.00568
12.0093
16.0027
8.00405
16.0008
16.0012
8.00161
20.0077
16.0052
12.0068
4.00155
16.0011
12.0046
8.00988
16.0051
12.0078
12.0073
16.0004
12.008
16.0067
16.0089
12.0076
20.0038
16.0083
16.0076
4.00449
16.0033
16.0009
8.00998
16.0024
16.0016
12.0057
16.0017
16.0043
16.0097
16.0025
16.0054
20.0013
16.0002
20.0006
4.00812
16.0017
20.0017
8.00268
16.0016
20.0068
12.0005
16.0089
20.0073
16.0085
16.0057
20.0061
20.0061
20.0095
0.00445079
4.00368
20.004
0.00770597
8.00463
20.004
9.47013e-05
12.0062
20.0096
0.00179218
16.0005
20.0094
0.00426904
20.0059
20.0007
4.00446
4.00653
20.0088
4.0062
8.00823
20.0015
4.00783
12.0051
20.002
4.00677
16.0023
20.0005
4.00244
20.0085
20.0066
8.00195
4.00294
20.0003
8.00595
8.00065
20.0049
8.00994
12.0007
20.0011
8.00958
16.0025
20.0016
8.00893
20.0068
20.0075
12.0096
4.00126
20.004
12.0084
8.00746
20.0022
12.0099
12.0053
20.0073
12.0019
16.0021
20.0097
12.0024
20.0045
20.0081
16.009
4.00645
20.0011
16.0092
8.00241
20.0017
16.0041
12.0023
20.0025
16.0052
16.0019
20.005
16.0068
20.0009
20.0018
20.0043
4.00047
20.0031
20.0083
8.00888
20.0005
20.0005
12.0088
20.0058
20.0078
16.0007
20.0079
20.0075
20.003
